Fecha,Último Precio (Bs),Monto Efectivo (Bs),Variación (%),Títulos Negociados
2025-11-18,229.0,53524.5,,
2025-11-19,233.0,454624.23,,
2025-11-20,224.99,13274.87,,
2025-11-21,225.0,5192844.0,,
2025-11-25,221.99,26053.0,,
2025-11-26,220.0,72457.92,,
2025-11-27,221.0,85219.2,-99.0,384.0
2025-11-28,216.99,122102.47,-301.0,576.0
2025-12-01,225.0,30141.81,801.0,141.0
2025-12-02,240.0,8189.76,15.0,32.0
2025-12-03,191.0,31932.85,-34.0,150.0
2025-12-04,223.0,78855.0,0.0,361.0
2025-12-06,219.99,89265.7,-301.0,417.0
2025-12-09,218.0,199589.7,-199.0,917.0
2025-12-10,217.9,25340.06,-1.0,119.0
2025-12-11,215.0,53768.4,-29,276
